ticket_id,ticket_text,ground_truth
1,I ordered a blue vase but received a red one. I want a full refund please.,Refund
2,The product arrived damaged. Can you process a refund for order #48291?,Refund
3,I cancelled within 24 hours but still haven't received my money back. It's been 10 days.,Refund
4,The software license key I bought doesn't work. I need a refund as per your 30-day policy.,Refund
5,My order arrived and it's the wrong size. I'd like to return and get a refund.,Refund
6,Where is my package? Tracking number 1Z999AA10123456784 shows no movement in 5 days.,Shipping
7,I paid for express shipping but my order still hasn't shipped after 4 business days.,Shipping
8,The delivery address is wrong on my order. Can you update it before it goes out?,Shipping
9,My package says delivered but I never received it. Can you check with the carrier?,Shipping
10,Do you ship to APO addresses? I'm deployed overseas and need my order.,Shipping
11,I forgot my password and the reset link is not being sent to my email.,Login
12,I keep getting 'invalid credentials' even after resetting my password three times.,Login
13,My account was locked after too many attempts. Please unlock it.,Login
14,I can't log in with Google OAuth. It says 'account not found' but I used it before.,Login
15,My card was charged twice for the same order. I see two pending transactions.,Payment
16,I used a promo code but the discount wasn't applied at checkout. Can I get the difference back?,Payment
17,The payment went through but I got an error page. Is my order confirmed?,Payment
18,My PayPal payment was deducted but the order status still shows 'pending payment'.,Payment
19,I want to delete my account permanently. How do I do that?,Account
20,Someone changed my email address without my permission. I think my account is compromised.,Account
21,Can I merge two accounts? I accidentally created a duplicate.,Account
22,I changed my phone number and now I can't receive SMS verification codes.,Account
23,The laptop I bought overheats after 30 minutes of use. This is a known defect.,Product Quality
24,The T-shirt fabric is much thinner than advertised. Feels like it will tear easily.,Product Quality
25,The Bluetooth earbuds only last 2 hours instead of the advertised 8 hours.,Product Quality
26,The coffee maker leaks water from the bottom every time I brew. It's a safety hazard.,Product Quality
27,Can I add an item to my existing order #39201 before it ships?,Order Change
28,I need to change the shipping method from standard to overnight for order #48291.,Order Change
29,Do you have a physical store in Chicago where I can try products before buying?,Other
30,I have a suggestion: please add a dark mode to your mobile app.,Other
