question_id,query_type,question,dense_faithfulness,hybrid_faithfulness,dense_answer_relevancy,hybrid_answer_relevancy,dense_context_precision,hybrid_context_precision,dense_context_recall,hybrid_context_recall,dense_avg,hybrid_avg,lift
q01,semantic,What is the Föllmer process?,1.0,0.0,1.0,0.0,0.1,0.2,0.1,0.05,0.55,0.0625,-0.4875
q02,semantic,How is the Föllmer process related to the Schrödinger bridge problem?,0.0,0.0,0.0,0.7,0.8,0.4,0.1,0.1,0.225,0.3,0.075
q03,semantic,What is the Föllmer drift and how is it computed?,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.025,0.0,-0.025
q04,semantic,How does the Föllmer process connect to entropy-regularized optimal transport?,0.0,0.0,0.0,0.0,1.0,0.0,0.15,0.1,0.2875,0.025,-0.2625
q05,semantic,What is the relationship between the Föllmer process and score functions?,0.0,1.0,1.0,0.1,0.8,0.1,0.1,0.3,0.475,0.375,-0.1
q06,semantic,How is the Föllmer process applied in generative modeling?,1.0,1.0,1.0,1.0,0.2,1.0,0.4,0.1,0.65,0.775,0.125
q07,semantic,What is Wasserstein distance used for in DDPMs?,1.0,0.0,0.1,0.0,0.2,0.7,0.2,0.5,0.375,0.3,-0.075
q08,semantic,How does the forward diffusion process work in DDPMs?,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.025,0.0,-0.025
q09,semantic,What is the simplified training objective in DDPMs?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q10,semantic,How does the reverse diffusion process work in DDPMs?,1.0,1.0,0.3,0.0,0.0,0.1,0.0,0.0,0.325,0.275,-0.05
q11,semantic,What neural network architecture is used for the denoising function in DDPMs?,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
q12,semantic,What is the ELBO in the context of DDPMs?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q13,semantic,What noise schedule is used in DDPMs and why does it matter?,0.0,1.0,0.0,0.1,0.1,0.1,0.1,0.0,0.05,0.3,0.25
q14,semantic,How do DDPMs compare to GANs in terms of sample quality and training stability?,0.0,1.0,0.0,0.1,0.15,0.2,0.0,0.0,0.0375,0.325,0.2875
